title
brush and black ink on paper
"brush, gray and white ink, gray wash, on blue prepared paper"
charcoal on paper
collage
color lithograph
india ink on paper
ink and color on paper
modified screen print
oil and gold leaf on canvas
oil and opaque color on wood
oil and watercolor on canvas on panel
oil on beaver board
oil on canvas
oil on masonite
oil on panel
oil on wood
pencil and gouache on paper
poster
prints
serigraphy
shaped paper
spray print
tempera on panel
tempera on paper board
